Movie,Year,Genre,,,,,,,,,,,,,,,,
Apocalypse Now,2001, War            ,,,,,,,,,,,,,,,,
Apocalypto,2001, Drama            ,,,,,,,,,,,,,,,,
Apollo 13,2016, History            ,,,,,,,,,,,,,,,,
Argo,1994, Thriller            ,,,,,,,,,,,,,,,,
As Good as It Gets,2002, Romance            ,,,,,,,,,,,,,,,,
Atonement,2007, Romance            ,,,,,,,,,,,,,,,,
Austin Powers: The Spy Who Shagged Me,1976, Comedy            ,,,,,,,,,,,,,,,,
Auto Focus,2009, Drama            ,,,,,,,,,,,,,,,,
Avatar,1993, Fantasy            ,,,,,,,,,,,,,,,,
Avengers: Infinity War,1994, Sci-Fi            ,,,,,,,,,,,,,,,,
Baby Driver,1981, Drama            ,,,,,,,,,,,,,,,,
Back to the Future,2010, Sci-Fi            ,,,,,,,,,,,,,,,,
Back to the Future Part II,2009, Sci-Fi            ,,,,,,,,,,,,,,,,
Bad Lieutenant,2014, Thriller            ,,,,,,,,,,,,,,,,
Bad Santa,1997, Drama            ,,,,,,,,,,,,,,,,
Badlands,2000, Drama            ,,,,,,,,,,,,,,,,
Basic Instinct,2011, Thriller            ,,,,,,,,,,,,,,,,
Batman Returns,2006, Fantasy            ,,,,,,,,,,,,,,,,
Battle Royale,2000, Drama            ,,,,,,,,,,,,,,,,
Beauty and the Beast,1977, Fantasy            ,,,,,,,,,,,,,,,,
Before the Devil Knows You're Dead,1986, Thriller            ,,,,,,,,,,,,,,,,
Being John Malkovich,1978, Fantasy            ,,,,,,,,,,,,,,,,
Ben-Hur,1998, History            ,,,,,,,,,,,,,,,,
Beowulf,2006, Adventure            ,,,,,,,,,,,,,,,,
Bernie,1983, Crime            ,,,,,,,,,,,,,,,,
Beverly Hills Cop,2002, Crime            ,,,,,,,,,,,,,,,,
Big,2019, Fantasy            ,,,,,,,,,,,,,,,,
Big Fish,1977, Fantasy            ,,,,,,,,,,,,,,,,
Big Trouble in Little China,2007, Comedy            ,,,,,,,,,,,,,,,,
Bill & Ted's Bogus Journey,2009, Fantasy            ,,,,,,,,,,,,,,,,
Bill & Ted's Excellent Adventure,2012, Music            ,,,,,,,,,,,,,,,,
Black Hawk Down,1996, War            ,,,,,,,,,,,,,,,,
Blade,2011, Sci-Fi            ,,,,,,,,,,,,,,,,
Blade II,2002, Sci-Fi            ,,,,,,,,,,,,,,,,
Blade Runner,2008, Sci-Fi            ,,,,,,,,,,,,,,,,
Blade Runner 2049,1979, Sci-Fi            ,,,,,,,,,,,,,,,,
Blood Simple,1957, Thriller            ,,,,,,,,,,,,,,,,
Bloody Sunday,1995, War            ,,,,,,,,,,,,,,,,
Blow Out,2008, Mystery            ,,,,,,,,,,,,,,,,
