Movie,Year,Genre,,,,,,,,,,,,,,,,
Rope,1997, Mystery            ,,,,,,,,,,,,,,,,
Ruby Sparks,2004, Fantasy            ,,,,,,,,,,,,,,,,
Runaway Jury,1974, Thriller            ,,,,,,,,,,,,,,,,
Rush,2018, Drama            ,,,,,,,,,,,,,,,,
Rushmore,1990, Romance            ,,,,,,,,,,,,,,,,
Salvador,2007, Thriller            ,,,,,,,,,,,,,,,,
Santa Sangre,1969, Thriller            ,,,,,,,,,,,,,,,,
Saw,2009, Thriller            ,,,,,,,,,,,,,,,,
Say Anything,1987, Romance            ,,,,,,,,,,,,,,,,
Schindler's List,1989, History            ,,,,,,,,,,,,,,,,
Scott Pilgrim vs. the World,1973, Fantasy            ,,,,,,,,,,,,,,,,
Se7en,2009, Mystery            ,,,,,,,,,,,,,,,,
Secretary,1969, Romance            ,,,,,,,,,,,,,,,,
Senna,2016, Sport            ,,,,,,,,,,,,,,,,
Serenity,2019, Sci-Fi            ,,,,,,,,,,,,,,,,
Seven Samurai,2001, Drama            ,,,,,,,,,,,,,,,,
Sexy Beast,2010, Thriller            ,,,,,,,,,,,,,,,,
Shaolin Soccer,2008, Family            ,,,,,,,,,,,,,,,,
Sherlock Holmes,2008, Mystery            ,,,,,,,,,,,,,,,,
Sicario,1979, Drama            ,,,,,,,,,,,,,,,,
Side Effects,2016, Mystery            ,,,,,,,,,,,,,,,,
Sideways,2006, Romance            ,,,,,,,,,,,,,,,,
Silver Linings Playbook,2002, Romance            ,,,,,,,,,,,,,,,,
Sing Street,1982, Music            ,,,,,,,,,,,,,,,,
Singin' in the Rain,1999, Romance            ,,,,,,,,,,,,,,,,
Skyfall,1974, Thriller            ,,,,,,,,,,,,,,,,
Slap Shot,1998, Sport            ,,,,,,,,,,,,,,,,
Sleepers,2016, Thriller            ,,,,,,,,,,,,,,,,
Sleepy Hollow,1983, Mystery            ,,,,,,,,,,,,,,,,
Snowpiercer,1992, Sci-Fi            ,,,,,,,,,,,,,,,,
Song of the Sea,1990, Drama            ,,,,,,,,,,,,,,,,
Source Code,2007, Mystery            ,,,,,,,,,,,,,,,,
"South Park: Bigger, Longer & Uncut",1996, Fantasy            ,,,,,,,,,,,,,,,,
Spartacus,1979, Drama            ,,,,,,,,,,,,,,,,
Speed,1985, Thriller            ,,,,,,,,,,,,,,,,
Spider-Man,1992, Sci-Fi            ,,,,,,,,,,,,,,,,
Spider-Man 2,2008, Sci-Fi            ,,,,,,,,,,,,,,,,
Spirited Away,1992, Family            ,,,,,,,,,,,,,,,,
Splice,1971, Sci-Fi            ,,,,,,,,,,,,,,,,
Spotlight,2008, Drama            ,,,,,,,,,,,,,,,,
Spring,1993, Sci-Fi            ,,,,,,,,,,,,,,,,
Stairway to Heaven,1997, Romance            ,,,,,,,,,,,,,,,,
Stake Land,1977, Sci-Fi            ,,,,,,,,,,,,,,,,
Star Trek,2017, Sci-Fi            ,,,,,,,,,,,,,,,,
Star Wars: Episode I - The Phantom Menace,1989, Fantasy            ,,,,,,,,,,,,,,,,
Star Wars: Episode III - Revenge of the Sith,2002, Fantasy            ,,,,,,,,,,,,,,,,
Star Wars: Episode IV - A New Hope,1995, Fantasy            ,,,,,,,,,,,,,,,,
Star Wars: Episode V - The Empire Strikes Back,1992, Fantasy            ,,,,,,,,,,,,,,,,
Star Wars: Episode VI - Return of the Jedi,1990, Fantasy            ,,,,,,,,,,,,,,,,
Star Wars: Episode VII - The Force Awakens,1934, Sci-Fi            ,,,,,,,,,,,,,,,,
Star Wars: Episode VIII - The Last Jedi,1982, Fantasy            ,,,,,,,,,,,,,,,,
Starship Troopers,2016, Sci-Fi            ,,,,,,,,,,,,,,,,
State of Grace,1997, Drama            ,,,,,,,,,,,,,,,,
State of Play,2007, Mystery            ,,,,,,,,,,,,,,,,
Strange Days,2011, Sci-Fi            ,,,,,,,,,,,,,,,,
Stranger Than Fiction,1993, Fantasy            ,,,,,,,,,,,,,,,,
Sullivan's Travels,1992, Drama            ,,,,,,,,,,,,,,,,
Superman,1971, Drama            ,,,,,,,,,,,,,,,,
Superman II,1967, Sci-Fi            ,,,,,,,,,,,,,,,,
Taxi,2012, Crime            ,,,,,,,,,,,,,,,,
Taxi to the Dark Side,2000, History            ,,,,,,,,,,,,,,,,
Tell No One,2006, Mystery            ,,,,,,,,,,,,,,,,
Tenet,2000, Thriller            ,,,,,,,,,,,,,,,,
The Abyss,1994, Mystery            ,,,,,,,,,,,,,,,,
The Adventures of Tintin,2014, Adventure            ,,,,,,,,,,,,,,,,
The American Friend,1978, Mystery            ,,,,,,,,,,,,,,,,
The Apartment,1998, Romance            ,,,,,,,,,,,,,,,,
The Artist,2018, Romance            ,,,,,,,,,,,,,,,,
The Avengers,1997, Sci-Fi            ,,,,,,,,,,,,,,,,
The Ballad of Buster Scruggs,1993, Musical            ,,,,,,,,,,,,,,,,
The Big Lebowski,1969, Sport            ,,,,,,,,,,,,,,,,
The Big Sleep,1993, Mystery            ,,,,,,,,,,,,,,,,
The Bourne Identity,2006, Thriller            ,,,,,,,,,,,,,,,,
The Bourne Supremacy,1949, Thriller            ,,,,,,,,,,,,,,,,
The Bourne Ultimatum,2011, Mystery            ,,,,,,,,,,,,,,,,
The Cabin in the Woods,2000, Thriller            ,,,,,,,,,,,,,,,,
The Conjuring,2009, Thriller            ,,,,,,,,,,,,,,,,
The Conversation,1986, Thriller            ,,,,,,,,,,,,,,,,
The Cove,1997, Crime            ,,,,,,,,,,,,,,,,
The Crow,1995, Thriller            ,,,,,,,,,,,,,,,,
The Crying Game,1989, Romance            ,,,,,,,,,,,,,,,,
The Curious Case of Benjamin Button,2017, Romance            ,,,,,,,,,,,,,,,,
The Dark Knight,1994, Drama            ,,,,,,,,,,,,,,,,
The Dead Zone,1997, Sci-Fi            ,,,,,,,,,,,,,,,,
The Departed,2011, Drama            ,,,,,,,,,,,,,,,,
The Descent,2011, Thriller            ,,,,,,,,,,,,,,,,
The Devil's Advocate,2010, Thriller            ,,,,,,,,,,,,,,,,
The Dirty Dozen,2006, War            ,,,,,,,,,,,,,,,,
The Fifth Element,2012, Sci-Fi            ,,,,,,,,,,,,,,,,
The Fighter,2015, Sport            ,,,,,,,,,,,,,,,,
The Fisher King,1997, Fantasy            ,,,,,,,,,,,,,,,,
The Fly,1996, Sci-Fi            ,,,,,,,,,,,,,,,,
The Fog of War,2003, History            ,,,,,,,,,,,,,,,,
The French Connection,2000, Drama            ,,,,,,,,,,,,,,,,
The Fugitive,2008, Drama            ,,,,,,,,,,,,,,,,
The General,1967, Drama            ,,,,,,,,,,,,,,,,
The Ghost Writer,2010, Mystery            ,,,,,,,,,,,,,,,,
The Girl with the Dragon Tattoo,1996, Mystery            ,,,,,,,,,,,,,,,,
The Goonies,2004, Family            ,,,,,,,,,,,,,,,,
The Graduate,1971, Romance            ,,,,,,,,,,,,,,,,
The Grand Budapest Hotel,1999, Crime            ,,,,,,,,,,,,,,,,
The Great Escape,1995, History            ,,,,,,,,,,,,,,,,
The Green Mile,1992, Fantasy            ,,,,,,,,,,,,,,,,
The Guard,1992, Thriller            ,,,,,,,,,,,,,,,,
The Guest,1985, Thriller            ,,,,,,,,,,,,,,,,
The Hateful Eight,2012, Mystery            ,,,,,,,,,,,,,,,,
The Hudsucker Proxy,2005, Fantasy            ,,,,,,,,,,,,,,,,
The Hunger Games: Catching Fire,1989, Mystery            ,,,,,,,,,,,,,,,,
The Hurt Locker,1984, War            ,,,,,,,,,,,,,,,,
The Imposter,2010, Crime            ,,,,,,,,,,,,,,,,
The Incredibles,2009, Adventure            ,,,,,,,,,,,,,,,,
The Insider,2013, Thriller            ,,,,,,,,,,,,,,,,
The Intouchables,2008, Drama            ,,,,,,,,,,,,,,,,
The Irishman,1973, Drama            ,,,,,,,,,,,,,,,,
The Iron Giant,2013, Adventure            ,,,,,,,,,,,,,,,,
The Italian Job,1973, Crime            ,,,,,,,,,,,,,,,,
The Jungle Book,1990, Comedy            ,,,,,,,,,,,,,,,,
The Jungle Book,1990, Family            ,,,,,,,,,,,,,,,,
The Killer,1979, Drama            ,,,,,,,,,,,,,,,,
The Killing,1999, Film-Noir            ,,,,,,,,,,,,,,,,
The King of Comedy,2005, Drama            ,,,,,,,,,,,,,,,,
The King of Kong: A Fistful of Quarters,2012, Sport            ,,,,,,,,,,,,,,,,
The Last King of Scotland,1996, History            ,,,,,,,,,,,,,,,,
The Last of the Mohicans,2016, Drama            ,,,,,,,,,,,,,,,,
The Last Seduction,2005, Romance            ,,,,,,,,,,,,,,,,
The Last Waltz,1969, Music            ,,,,,,,,,,,,,,,,
The Lego Movie,1966, Comedy            ,,,,,,,,,,,,,,,,
The Life Aquatic with Steve Zissou,2007, Comedy            ,,,,,,,,,,,,,,,,
The Limey,2013, Mystery            ,,,,,,,,,,,,,,,,
The Lincoln Lawyer,1990, Mystery            ,,,,,,,,,,,,,,,,
The Lion King,1974, Drama            ,,,,,,,,,,,,,,,,
The Lives of Others,2007, Thriller            ,,,,,,,,,,,,,,,,
The Lobster,1997, Romance            ,,,,,,,,,,,,,,,,
The Long Good Friday,2000, Mystery            ,,,,,,,,,,,,,,,,
The Long Goodbye,2007, Drama            ,,,,,,,,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring,2000, Drama            ,,,,,,,,,,,,,,,,
The Lord of the Rings: The Return of the King,2015, Drama            ,,,,,,,,,,,,,,,,
The Lord of the Rings: The Two Towers,2005, Drama            ,,,,,,,,,,,,,,,,
The Loved Ones,1997, Horror            ,,,,,,,,,,,,,,,,
The Maltese Falcon,1996, Mystery            ,,,,,,,,,,,,,,,,
The Man with Two Brains,2004, Sci-Fi            ,,,,,,,,,,,,,,,,
The Martian,2014, Sci-Fi            ,,,,,,,,,,,,,,,,
The Mask,2003, Crime            ,,,,,,,,,,,,,,,,
The Mist,2009, Thriller            ,,,,,,,,,,,,,,,,
The Muppet Christmas Carol,2012, Family            ,,,,,,,,,,,,,,,,
The Muppets,2013, Family            ,,,,,,,,,,,,,,,,
The Nice Guys,2005, Crime            ,,,,,,,,,,,,,,,,
The Orphanage,1977, Mystery            ,,,,,,,,,,,,,,,,
The Other Guys,1999, Crime            ,,,,,,,,,,,,,,,,
The Others,1988, Thriller            ,,,,,,,,,,,,,,,,
The Place Beyond the Pines,1995, Thriller            ,,,,,,,,,,,,,,,,
The Player,2015, Drama            ,,,,,,,,,,,,,,,,
The Prestige,2010, Sci-Fi            ,,,,,,,,,,,,,,,,
The Princess Bride,1989, Fantasy            ,,,,,,,,,,,,,,,,
The Proposition,2008, Western            ,,,,,,,,,,,,,,,,
The Raid 2,2001, Thriller            ,,,,,,,,,,,,,,,,
The Revenant,2014, Drama            ,,,,,,,,,,,,,,,,
The Right Stuff,2005, Drama            ,,,,,,,,,,,,,,,,
The Rover,1933, Drama            ,,,,,,,,,,,,,,,,
The Rules of Attraction,2002, Romance            ,,,,,,,,,,,,,,,,
The Searchers,1986, Western            ,,,,,,,,,,,,,,,,
The Secret in Their Eyes,2006, Romance            ,,,,,,,,,,,,,,,,
The Shape of Water,2012, Romance            ,,,,,,,,,,,,,,,,
The Silence of the Lambs,1986, Thriller            ,,,,,,,,,,,,,,,,
The Sixth Sense,2011, Thriller            ,,,,,,,,,,,,,,,,
The Skin I Live In,1994, Thriller            ,,,,,,,,,,,,,,,,
The Sound of Music,1990, Family            ,,,,,,,,,,,,,,,,
The Spectacular Now,1984, Romance            ,,,,,,,,,,,,,,,,
The Spy Who Loved Me,2006, Thriller            ,,,,,,,,,,,,,,,,
The Sting,2007, Drama            ,,,,,,,,,,,,,,,,
The Taking of Pelham One Two Three,1991, Thriller            ,,,,,,,,,,,,,,,,
The Thin Red Line,1989, War            ,,,,,,,,,,,,,,,,
The Thing,2008, Sci-Fi            ,,,,,,,,,,,,,,,,
The Third Man,1985, Thriller            ,,,,,,,,,,,,,,,,
The Thomas Crown Affair,2012, Thriller            ,,,,,,,,,,,,,,,,
The Town,2010, Thriller            ,,,,,,,,,,,,,,,,
The Treasure of the Sierra Madre,1976, Western            ,,,,,,,,,,,,,,,,
The Untouchables,1995, Thriller            ,,,,,,,,,,,,,,,,
The Usual Suspects,1977, Mystery            ,,,,,,,,,,,,,,,,
The Village,1981, Thriller            ,,,,,,,,,,,,,,,,
The Wackness,2005, Romance            ,,,,,,,,,,,,,,,,
The Warriors,1969, Thriller            ,,,,,,,,,,,,,,,,
The Way of the Gun,2005, Drama            ,,,,,,,,,,,,,,,,
The Wedding Singer,1982, Romance            ,,,,,,,,,,,,,,,,
The Wicker Man,1988, Thriller            ,,,,,,,,,,,,,,,,
The Wild Bunch,1971, Western            ,,,,,,,,,,,,,,,,
The Wizard of Oz,2001, Fantasy            ,,,,,,,,,,,,,,,,
The Wolf of Wall Street,1948, Crime            ,,,,,,,,,,,,,,,,
The World Is Not Enough,1956, Thriller            ,,,,,,,,,,,,,,,,
Thief,1954, Drama            ,,,,,,,,,,,,,,,,
Things to Do in Denver When You're Dead,2010, Thriller            ,,,,,,,,,,,,,,,,
Thirteen Days,1982, Thriller            ,,,,,,,,,,,,,,,,
Thor: Ragnarok,1991, Comedy            ,,,,,,,,,,,,,,,,
"Three Billboards Outside Ebbing, Missouri",2011, Drama            ,,,,,,,,,,,,,,,,
Three Colors: Blue,2012, Mystery            ,,,,,,,,,,,,,,,,
Three Colors: Red,2004, Romance            ,,,,,,,,,,,,,,,,
Three Colors: White,2010, Romance            ,,,,,,,,,,,,,,,,
Three Days of the Condor,1987, Thriller            ,,,,,,,,,,,,,,,,
Three Identical Strangers,2011, Drama            ,,,,,,,,,,,,,,,,
Three Kings,1970, Comedy            ,,,,,,,,,,,,,,,,
Time Bandits,1999, Fantasy            ,,,,,,,,,,,,,,,,
Tinker Tailor Soldier Spy,1985, Thriller            ,,,,,,,,,,,,,,,,
To Live and Die in L.A.,2009, Drama            ,,,,,,,,,,,,,,,,
Tombstone,2003, Drama            ,,,,,,,,,,,,,,,,
Tootsie,1994, Romance            ,,,,,,,,,,,,,,,,
Top Secret!,1998, Music            ,,,,,,,,,,,,,,,,
Total Recall,2004, Sci-Fi            ,,,,,,,,,,,,,,,,
Touch of Evil,1998, Film-Noir            ,,,,,,,,,,,,,,,,
Toy Story,2007, Comedy            ,,,,,,,,,,,,,,,,
Toy Story 2,1981, Comedy            ,,,,,,,,,,,,,,,,
Toy Story 3,2015, Comedy            ,,,,,,,,,,,,,,,,
Traffic,2005, Thriller            ,,,,,,,,,,,,,,,,
Training Day,2011, Thriller            ,,,,,,,,,,,,,,,,
Trollhunter,2000, Horror            ,,,,,,,,,,,,,,,,
True Lies,2012, Thriller            ,,,,,,,,,,,,,,,,
True Romance,1999, Romance            ,,,,,,,,,,,,,,,,
Twin Peaks: Fire Walk with Me,2013, Mystery            ,,,,,,,,,,,,,,,,
Unbreakable,1996, Sci-Fi            ,,,,,,,,,,,,,,,,
Uncut Gems,2011, Thriller            ,,,,,,,,,,,,,,,,
United 93,2009, History            ,,,,,,,,,,,,,,,,
Up,2008, Comedy            ,,,,,,,,,,,,,,,,
Up in the Air,1954, Romance            ,,,,,,,,,,,,,,,,
Us,2016, Thriller            ,,,,,,,,,,,,,,,,
V for Vendetta,1995, Sci-Fi            ,,,,,,,,,,,,,,,,
Vertigo,2006, Thriller            ,,,,,,,,,,,,,,,,
Walk the Line,1962, Music            ,,,,,,,,,,,,,,,,
WALL·E,2004, Family            ,,,,,,,,,,,,,,,,
Waltz with Bashir,2014, Biography            ,,,,,,,,,,,,,,,,
Wanted,2013, Thriller            ,,,,,,,,,,,,,,,,
War of the Worlds,2011, Sci-Fi            ,,,,,,,,,,,,,,,,
Watchmen,2013, Mystery            ,,,,,,,,,,,,,,,,
We Need to Talk About Kevin,1995, Thriller            ,,,,,,,,,,,,,,,,
Westworld,2010, Thriller            ,,,,,,,,,,,,,,,,
When Harry Met Sally...,1985, Romance            ,,,,,,,,,,,,,,,,
White Heat,2008, Drama            ,,,,,,,,,,,,,,,,
Who Framed Roger Rabbit,1996, Comedy            ,,,,,,,,,,,,,,,,
Wild at Heart,1996, Drama            ,,,,,,,,,,,,,,,,
Willy Wonka & the Chocolate Factory,2004, Musical            ,,,,,,,,,,,,,,,,
Win Win,1979, Sport            ,,,,,,,,,,,,,,,,
Witness,1996, Thriller            ,,,,,,,,,,,,,,,,
Witness for the Prosecution,1980, Mystery            ,,,,,,,,,,,,,,,,
X: First Class,1986, Sci-Fi            ,,,,,,,,,,,,,,,,
X2: X-Men United,1940, Thriller            ,,,,,,,,,,,,,,,,
X-Men,1992, Sci-Fi            ,,,,,,,,,,,,,,,,
X-Men: Days of Future Past,1944, Sci-Fi            ,,,,,,,,,,,,,,,,
You Only Live Twice,2011, Thriller            ,,,,,,,,,,,,,,,,
Youth in Revolt,2012, Romance            ,,,,,,,,,,,,,,,,
Zero Dark Thirty,1984, Thriller            ,,,,,,,,,,,,,,,,
Zodiac,2007, Mystery            ,,,,,,,,,,,,,,,,
Zombieland,1989, Horror            ,,,,,,,,,,,,,,,,
12 Angry Men,1998, Drama            ,,,,,,,,,,,,,,,,
12 Monkeys,1997, Sci-Fi,,,,,,,,,,,,,,,,
127 Hours,1998, Drama            ,,,,,,,,,,,,,,,,
13 Assassins,2016, Adventure,,,,,,,,,,,,,,,,
13th,1984, Crime,,,,,,,,,,,,,,,,
2001: A Space Odyssey,1982, Sci-Fi            ,,,,,,,,,,,,,,,,
21 Grams,2006, Drama,,,,,,,,,,,,,,,,
21 Jump Street,2007, Comedy,,,,,,,,,,,,,,,,
22 Jump Street,2015, Comedy,,,,,,,,,,,,,,,,
24 Hour Party People,1989, Comedy,,,,,,,,,,,,,,,,
28 Days Later...,1990, Horror,,,,,,,,,,,,,,,,
28 Weeks Later,2013, Sci-Fi            ,,,,,,,,,,,,,,,,
50/50,1999, Drama,,,,,,,,,,,,,,,,
500 Days of Summer,2018, Drama,,,,,,,,,,,,,,,,
8 Mile,2002, Music            ,,,,,,,,,,,,,,,,
A Bittersweet Life,2008, Crime,,,,,,,,,,,,,,,,
A Bronx Tale,2012, Drama            ,,,,,,,,,,,,,,,,
A Bug's Life,1956, Adventure,,,,,,,,,,,,,,,,
A Clockwork Orange,1999, Sci-Fi            ,,,,,,,,,,,,,,,,
A Few Good Men,2014, Thriller            ,,,,,,,,,,,,,,,,
A Fish Called Wanda,1987, Crime            ,,,,,,,,,,,,,,,,
A Fistful of Dollars,1993, Drama,,,,,,,,,,,,,,,,
A Hard Day's Night,2005, Musical            ,,,,,,,,,,,,,,,,
A History of Violence,2011, Drama,,,,,,,,,,,,,,,,
A Man Escaped,1995, Thriller,,,,,,,,,,,,,,,,
A Monster Calls,1997, Drama,,,,,,,,,,,,,,,,
A Prophet,2001, Drama            ,,,,,,,,,,,,,,,,
A Quiet Place,2013, Horror,,,,,,,,,,,,,,,,
A Room for Romeo Brass,2012, Drama            ,,,,,,,,,,,,,,,,
A Serious Man,2010, Drama            ,,,,,,,,,,,,,,,,
A Simple Plan,2013, Drama,,,,,,,,,,,,,,,,
A Star Is Born,2007, Music,,,,,,,,,,,,,,,,
A.I. Artificial Intelligence,1988, Sci-Fi            ,,,,,,,,,,,,,,,,
Adaptation.,1992, Drama            ,,,,,,,,,,,,,,,,
Adventureland,1996, Drama,,,,,,,,,,,,,,,,
Affliction,1997, Mystery,,,,,,,,,,,,,,,,
After Hours,2002, Crime,,,,,,,,,,,,,,,,
Aladdin,2002, Adventure,,,,,,,,,,,,,,,,
Alan Partridge,2015, Comedy,,,,,,,,,,,,,,,,
Alien,2002, Sci-Fi            ,,,,,,,,,,,,,,,,
Aliens,2018, Adventure,,,,,,,,,,,,,,,,
All the President's Men,1966, History,,,,,,,,,,,,,,,,
Almost Famous,2014, Comedy,,,,,,,,,,,,,,,,
Amadeus,1960, Drama,,,,,,,,,,,,,,,,
Amélie,1962, Romance            ,,,,,,,,,,,,,,,,
American Gangster,2013, Crime,,,,,,,,,,,,,,,,
American Movie,1999, Comedy            ,,,,,,,,,,,,,,,,
American Psycho,2009, Drama,,,,,,,,,,,,,,,,
American Splendor,2014, Comedy,,,,,,,,,,,,,,,,
American: The Bill Hicks Story,2010, Animation,,,,,,,,,,,,,,,,
Amores perros,1992, Thriller            ,,,,,,,,,,,,,,,,
Amy,1987, Biography,,,,,,,,,,,,,,,,
An American Werewolf in London,1939, Horror            ,,,,,,,,,,,,,,,,
An Officer and a Gentleman,2007, Romance            ,,,,,,,,,,,,,,,,
Analyze This,2006, Crime            ,,,,,,,,,,,,,,,,
Angel Heart,2000, Mystery,,,,,,,,,,,,,,,,
Angela's Ashes,2011, Drama            ,,,,,,,,,,,,,,,,
Angels with Dirty Faces,2009, Drama,,,,,,,,,,,,,,,,
Animal Kingdom,2015, Drama            ,,,,,,,,,,,,,,,,
Annie Hall,1987, Romance            ,,,,,,,,,,,,,,,,
Anvil,1996, Biography,,,,,,,,,,,,,,,,
Apocalypse Now,2001, Mystery,,,,,,,,,,,,,,,,
Apocalypto,2001, Adventure,,,,,,,,,,,,,,,,
Apollo 13,2016, Drama,,,,,,,,,,,,,,,,
Arbitrage,1954, Thriller            ,,,,,,,,,,,,,,,,
Argo,1994, Drama,,,,,,,,,,,,,,,,
Army of Darkness,2010, Horror            ,,,,,,,,,,,,,,,,
Arrival,2018, Sci-Fi            ,,,,,,,,,,,,,,,,
As Good as It Gets,2002, Drama,,,,,,,,,,,,,,,,
Atonement,2007, Mystery,,,,,,,,,,,,,,,,
August: Osage County,1972, Drama            ,,,,,,,,,,,,,,,,
Austin Powers: International Man of Mystery,2008, Comedy            ,,,,,,,,,,,,,,,,
Austin Powers: The Spy Who Shagged Me,1976, Adventure,,,,,,,,,,,,,,,,
Auto Focus,2009, Crime,,,,,,,,,,,,,,,,
Avatar,1993, Adventure,,,,,,,,,,,,,,,,
Avengers: Infinity War,1994, Adventure,,,,,,,,,,,,,,,,
Awakenings,2008, Drama            ,,,,,,,,,,,,,,,,
Baby Driver,1981, Crime,,,,,,,,,,,,,,,,
Back to the Future,2010, Comedy,,,,,,,,,,,,,,,,
Back to the Future Part II,2009, Comedy,,,,,,,,,,,,,,,,
Bad Lieutenant,2014, Drama,,,,,,,,,,,,,,,,
Bad Lieutenant: Port of Call New Orleans,1987, Drama            ,,,,,,,,,,,,,,,,
Bad Santa,1997, Crime,,,,,,,,,,,,,,,,
Badlands,2000, Crime,,,,,,,,,,,,,,,,
Basic Instinct,2011, Mystery,,,,,,,,,,,,,,,,
Batman,1976, Adventure            ,,,,,,,,,,,,,,,,
Batman Begins,1990, Adventure            ,,,,,,,,,,,,,,,,
Batman Returns,2006, Crime,,,,,,,,,,,,,,,,
Battle Royale,2000, Adventure,,,,,,,,,,,,,,,,
Beauty and the Beast,1977, Family,,,,,,,,,,,,,,,,
Before the Devil Knows You're Dead,1986, Drama,,,,,,,,,,,,,,,,
Being John Malkovich,1978, Drama,,,,,,,,,,,,,,,,
Being There,2002, Drama            ,,,,,,,,,,,,,,,,
Ben-Hur,1998, Drama,,,,,,,,,,,,,,,,
Beowulf,2006, Action,,,,,,,,,,,,,,,,
Bernie,1983, Comedy,,,,,,,,,,,,,,,,
Beverly Hills Cop,2002, Comedy,,,,,,,,,,,,,,,,
Big,2019, Drama,,,,,,,,,,,,,,,,
Big Fish,1977, Drama,,,,,,,,,,,,,,,,
Big Trouble in Little China,2007, Adventure,,,,,,,,,,,,,,,,
Bill & Ted's Bogus Journey,2009, Comedy,,,,,,,,,,,,,,,,
Bill & Ted's Excellent Adventure,2012, Comedy,,,,,,,,,,,,,,,,
Biloxi Blues,1967, Drama            ,,,,,,,,,,,,,,,,
Birdman or (The Unexpected Virtue of Ignorance),1973, Drama            ,,,,,,,,,,,,,,,,
Black Dynamite,2011, Comedy            ,,,,,,,,,,,,,,,,
Black Hawk Down,1996, Drama,,,,,,,,,,,,,,,,
Black Swan,2015, Thriller            ,,,,,,,,,,,,,,,,
Blade,2011, Horror,,,,,,,,,,,,,,,,
Blade II,2002, Horror,,,,,,,,,,,,,,,,
Blade Runner,2008, Drama,,,,,,,,,,,,,,,,
Blade Runner 2049,1979, Drama,,,,,,,,,,,,,,,,
Blazing Saddles,2006, Western            ,,,,,,,,,,,,,,,,
Blood Simple,1957, Drama,,,,,,,,,,,,,,,,
Bloody Sunday,1995, History,,,,,,,,,,,,,,,,
Blow Out,2008, Drama,,,,,,,,,,,,,,,,
Blow-Up,1942, Mystery,,,,,,,,,,,,,,,,
Blue Valentine,2011, Romance            ,,,,,,,,,,,,,,,,
Blue Velvet,2000, Mystery,,,,,,,,,,,,,,,,
Bobby Fischer Against the World,2013, Biography,,,,,,,,,,,,,,,,
Body Heat,2000, Drama,,,,,,,,,,,,,,,,
Bone Tomahawk,1983, Horror,,,,,,,,,,,,,,,,
Bonnie and Clyde,2009, Biography,,,,,,,,,,,,,,,,
Born on the Fourth of July,2009, Drama,,,,,,,,,,,,,,,,
Bottle Rocket,1970, Crime,,,,,,,,,,,,,,,,
Bound,1997, Thriller            ,,,,,,,,,,,,,,,,
Bowling for Columbine,1999, Crime,,,,,,,,,,,,,,,,
Boyz n the Hood,2003, Drama            ,,,,,,,,,,,,,,,,
Braindead,2008, Fantasy,,,,,,,,,,,,,,,,
Braveheart,2012, Drama,,,,,,,,,,,,,,,,
Brazil,2007, Sci-Fi            ,,,,,,,,,,,,,,,,
Breakfast at Tiffany's,1995, Drama,,,,,,,,,,,,,,,,
Brick,1987, Crime,,,,,,,,,,,,,,,,
Bridesmaids,1965, Romance            ,,,,,,,,,,,,,,,,
Bringing Out the Dead,2013, Thriller            ,,,,,,,,,,,,,,,,
Broadcast News,2009, Drama,,,,,,,,,,,,,,,,
Brokeback Mountain,2000, Romance            ,,,,,,,,,,,,,,,,
Bronson,2018, Biography,,,,,,,,,,,,,,,,
Buffalo '66,1999, Drama,,,,,,,,,,,,,,,,
Buffalo Soldiers,1997, Crime,,,,,,,,,,,,,,,,
Bug,2010, Horror,,,,,,,,,,,,,,,,
Bugsy,1993, Crime,,,,,,,,,,,,,,,,
Bugsy Malone,2002, Crime,,,,,,,,,,,,,,,,
Butch Cassidy and the Sundance Kid,1986, Comedy,,,,,,,,,,,,,,,,
Caché (Hidden),1994, Mystery,,,,,,,,,,,,,,,,
Cape Fear,1964, Thriller            ,,,,,,,,,,,,,,,,
Capitalism: A Love Story,1984, Crime,,,,,,,,,,,,,,,,
Captain America: The Winter Soldier,1997, Adventure,,,,,,,,,,,,,,,,
Captain Fantastic,1947, Drama            ,,,,,,,,,,,,,,,,
Captain Phillips,1979, Biography,,,,,,,,,,,,,,,,
Capturing the Friedmans,2002, Biography,,,,,,,,,,,,,,,,
Carlito's Way,2002, Drama,,,,,,,,,,,,,,,,
Carlos,1946, Crime,,,,,,,,,,,,,,,,
Carrie,1998, Mystery            ,,,,,,,,,,,,,,,,
Casablanca,1994, Romance,,,,,,,,,,,,,,,,
Casino,2003, Drama            ,,,,,,,,,,,,,,,,
Casino Royale,1997, Adventure,,,,,,,,,,,,,,,,
Cast Away,1991, Drama,,,,,,,,,,,,,,,,
Catch Me If You Can,2004, Crime,,,,,,,,,,,,,,,,
Catfish,1987, Drama,,,,,,,,,,,,,,,,
Celda 211,2007, Adventure,,,,,,,,,,,,,,,,
Cemetery Junction,2020, Drama            ,,,,,,,,,,,,,,,,
Changeling,2016, Crime,,,,,,,,,,,,,,,,
Chasing Amy,2005, Drama,,,,,,,,,,,,,,,,
Children of Men,1939, Drama,,,,,,,,,,,,,,,,
Chinatown,2001, Mystery,,,,,,,,,,,,,,,,
Choke,2010, Drama            ,,,,,,,,,,,,,,,,
Chopper,1979, Crime,,,,,,,,,,,,,,,,
Cinderella Man,1989, Drama,,,,,,,,,,,,,,,,
